insert 9687746 0,15918711859695 240
insert 7298076 0,761726052855014 43
insert 6532575 0,346984476943959 124
insert 9625377 0,625757491041793 46
insert 1403111 0,46381852285183 93
insert 9585487 0,124523750564327 283
insert 307371 0,266280959018637 171
insert 2052127 0,739176906523843 247
insert 4922908 0,956819825785616 342
insert 1701272 0,60384524082944 323
insert 5870568 0,618223720518045 8
insert 1949385 0,480338163897553 89
insert 7845734 0,891592275300805 92
insert 1362766 0,461039873520397 27
insert 1669964 0,834333178975775 136
insert 2612841 0,604827248772991 81
insert 5211056 0,408217361386967 164
insert 7305684 0,112095769081309 71
insert 673768 0,00978758186557683 254
insert 2183744 0,237516834511197 289
insert 1692764 0,483130304367808 267
insert 4463595 0,375480902090427 2
insert 1051576 0,945372584716125 354
insert 107097 0,173975315025996 83
insert 5304111 0,894460512276022 289
insert 4002842 0,0382163073114195 325
insert 3079363 0,231006695530846 126
insert 7235283 0,649021595087378 70
insert 4403636 0,856488424286474 182
insert 8257721 0,127561700124089 169
insert 5417535 0,566198944377805 235
insert 4516472 0,967000267453026 352
insert 3330364 0,720636878963856 165
insert 3718946 0,156126478759631 237
insert 2440905 0,510395918744801 84
insert 2247958 0,200157245248629 78
insert 3920369 0,667092646782795 349
insert 8030105 0,910438087727147 2
insert 4529136 0,44574805975228 300
insert 5475113 0,00599585753213421 186
insert 5014058 0,279385547283751 294
insert 5129297 0,468956208540572 218
insert 5788560 0,0787638901168312 333
insert 8273315 0,0672477702923342 114
insert 4459914 0,936041710402836 26
insert 6925379 0,479437818042672 49
insert 9613858 0,215567832447387 236
insert 2884926 0,43373514638922 165
insert 4989793 0,738742975862111 236
insert 6475653 0,998733633197254 187
insert 1438008 0,785525100205804 257
insert 9398597 0,870488865240705 315
insert 8416437 0,731160749556106 14
insert 6264656 0,645939827731782 43
insert 2901750 0,564705471305505 215
insert 6539918 0,3570191037641 350
insert 9316299 0,760375737101015 347
insert 6954830 0,586125523590541 284
insert 8626612 0,212913124455564 304
insert 3573418 0,0139504694444828 262
insert 9520155 0,931290732664657 28
insert 4062080 0,683530656473493 101
insert 6029384 0,506131651581326 23
insert 1981392 0,850894133490927 269
insert 971859 0,334920157368723 205
insert 5349378 0,998317682649157 312
insert 8606241 0,844987461271224 137
insert 6813644 0,715935379600122 85
insert 5549419 0,448317826934307 71
insert 9242129 0,0771985003152855 236
insert 310905 0,48430194821409 258
insert 3112264 0,674450161715248 257
insert 413630 0,883966974860042 317
insert 3181222 0,0510534392907533 306
insert 9088435 0,7334906369138 327
insert 2180331 0,598297066799503 90
insert 2208000 0,327723474860063 77
insert 9766207 0,496717654399908 60
insert 3484893 0,270651034671185 77
insert 8416723 0,851266071131111 84
insert 823230 0,678725410568866 154
insert 4079771 0,167048754713986 131
insert 310667 0,785959488612581 237
insert 8549789 0,493574725693825 41
insert 9878548 0,542501970446902 285
insert 5308364 0,772520947164167 353
insert 3288762 0,336908792768097 306
insert 9481942 0,703412975977833 269
insert 4429802 0,054469804770532 355
insert 5482472 0,962737116945319 145
insert 4992937 0,199690737388884 11
insert 6459619 0,235799112932663 134
insert 4219543 0,500866427785189 203
insert 5428894 0,186966384848098 292
insert 5907353 0,365821110720663 300
insert 1002447 0,988765865559115 343
insert 3750289 0,81765294066521 179
insert 2329106 0,512796068337185 185
insert 3851920 0,134128883077823 351
insert 6794581 0,964996805398258 40
insert 3790078 0,482819516436579 296
insert 2566708 0,355685167645889 105
insert 816498 0,341892874958875 110
insert 4216059 0,108882118998506 97
insert 4160028 0,7859868741529 53
insert 376831 0,357458839825103 121
insert 9153262 0,342735564961441 23
insert 333686 0,173218285745577 52
insert 9056690 0,266383131624378 247
insert 5183436 0,260769915888445 36
insert 3970155 0,742496175105915 192
insert 4538629 0,163881526870598 253
insert 9891152 0,334064501958929 3
insert 5402647 0,0185949299571081 232
insert 6475128 0,953422992934204 255
insert 2264755 0,816907749891704 261
insert 3644148 0,347508887456501 279
insert 6377205 0,764131849521832 224
insert 468750 0,345639281601477 111
insert 6781381 0,351001829072368 32
insert 6069893 0,563306178694268 29
insert 2050326 0,0245903991277285 131
insert 7357848 0,96213992823015 223
insert 4457955 0,0485679754282199 8
insert 3274559 0,375061515427689 116
insert 4188309 0,38585578342241 79
insert 4363133 0,679193471409005 161
insert 9600854 0,153928754922901 328
insert 3250001 0,759295024796992 352
insert 9136083 0,406987921524322 294
insert 3945456 0,310977011132509 353
insert 9208339 0,933275441608054 163
insert 5657500 0,442480198779367 334
insert 3423848 0,490690671135993 307
insert 1047038 0,918619330934537 107
insert 7532757 0,310264647151467 140
insert 2981206 0,628044062120861 345
insert 898059 0,241824840773747 241
insert 6398266 0,646903844385829 147
insert 1678619 0,88003244105728 95
insert 3880216 0,822176515041933 199
insert 8038631 0,0512499017879599 265
insert 403316 0,406622015129133 159
insert 8688518 0,853080917081368 339
insert 2909626 0,093928476839293 67
insert 5947075 0,855381627965431 84
insert 6143201 0,571724481215572 161
insert 5892939 0,61548777651763 280
insert 8584587 0,30473969984089 24
insert 3112543 0,281007252764426 103
insert 459113 0,397888100891322 202
insert 6635372 0,954363259465603 240
insert 2996158 0,300840744888801 312
insert 5613499 0,712944040406935 325
insert 9472842 0,429268721690992 278
insert 164079 0,798843238874731 53
insert 4833055 0,0451190942177172 284
insert 1740679 0,553541814234826 110
insert 8162649 0,798727626818571 74
insert 7762081 0,945404354923127 268
insert 6684387 0,729077349756415 45
insert 1554144 0,822940556250019 163
insert 3809278 0,627425479529158 50
insert 5199886 0,295091745115394 199
insert 3679399 0,0529701686710912 309
insert 5453877 0,642009731215429 67
insert 39807 0,842050833554031 182
insert 9212558 0,827948757832846 84
insert 4948493 0,871843327708469 303
insert 2541397 0,847272222790528 56
insert 4618254 0,523407667653359 127
insert 1208592 0,892911153795622 354
insert 7780278 0,7918697836771 218
insert 3197703 0,635480086615067 61
insert 83311 0,9633169132114 270
insert 2369813 0,806128004941218 180
insert 4495275 0,270877251062019 56
insert 204696 0,772227432938399 37
insert 2406137 0,74718298751264 324
insert 8897266 0,660565095795582 342
insert 6108465 0,126788029040577 280
insert 9839295 0,0581632266091943 277
insert 1991044 0,247080767642279 57
insert 8749137 0,767359875965565 306
insert 5798908 0,684210385514521 74
insert 3344787 0,912924659863545 311
insert 4858608 0,257868047458058 23
insert 3437746 0,804612278847309 207
insert 9989177 0,441355733872091 270
insert 2520828 0,880245486218597 52
insert 827380 0,888301265839628 47
insert 6552309 0,708923799315898 183
insert 3912645 0,0244015618341051 325
insert 9783432 0,0378768402328141 201
insert 3405126 0,574613768874953 181
insert 3065779 0,440578794312002 31
insert 8967827 0,906135039360325 300
insert 364967 0,403865794373614 144
insert 8853819 0,267071888440788 115
insert 2037582 0,985011847682768 222
insert 205038 0,947021624514378 132
insert 143308 0,792175651431166 316
insert 7188352 0,924659952486241 351
insert 6978786 0,943214199013642 319
insert 9594781 0,507517537804096 79
insert 5066680 0,00326201040449646 82
insert 728775 0,692339788979078 0
insert 6631631 0,355300094166445 350
insert 3114698 0,0462413514248288 174
insert 7286076 0,769849031125125 159
insert 1865163 0,187506217596823 14
insert 2883461 0,957839428893216 32
insert 1922119 0,326181782095778 281
insert 6244587 0,587742688408002 185
insert 1127304 0,198904085065659 346
insert 9457352 0,0770185892828827 322
insert 1827058 0,378713820305985 94
insert 921772 0,130880688378066 105
insert 6160305 0,35734065545599 213
insert 3927248 0,702861009958601 268
insert 3946231 0,990227620112816 55
insert 5334346 0,511362381983251 272
insert 8491333 0,671131964154137 197
insert 1291359 0,314456129593056 243
insert 4475603 0,448418831661539 37
insert 4848580 0,55043272606583 56
insert 111896 0,365734609014231 348
insert 5880872 0,545901798431716 140
insert 1780420 0,0943390671603098 20
insert 7467176 0,672315640688089 216
insert 4991336 0,799487121309846 224
insert 365038 0,229835626310592 215
insert 3611079 0,57929578590174 247
insert 2072128 0,0966018457415522 146
insert 3466701 0,0535698496054718 23
insert 5867296 0,644616847692345 245
insert 1880749 0,131172455442684 290
insert 4353255 0,381535228053823 121
insert 7767115 0,806535923763428 159
insert 7636757 0,355392642484695 150
insert 6990824 0,102415728430457 359
insert 9491793 0,630002306136304 185
insert 537594 0,411056575091116 78
insert 5070820 0,123750177269685 349
insert 4688543 0,803976747581724 96
insert 5633361 0,241417067237858 177
insert 3268775 0,591312383111246 161
insert 3741636 0,558642697315031 194
insert 7935908 0,0638081641233564 150
insert 2861943 0,259792279573061 152
insert 1531892 0,597432209922668 80
insert 2705183 0,5081304067318 357
insert 4070703 0,397490812184983 152
insert 5492886 0,53297019355603 84
insert 4638786 0,680992925856725 2
insert 8357709 0,96647121522877 207
insert 679936 0,21337540085119 203
insert 9519938 0,436798190435766 275
insert 9673010 0,324918779695834 195
insert 4576731 0,155588491426589 203
insert 970171 0,767565084978736 54
insert 7952835 0,353892785661804 189
insert 7472337 0,198335917758912 106
insert 2749466 0,156265835350503 303
insert 687644 0,77758883767649 21
insert 2161619 0,910285021136648 315
insert 5337209 0,957819854820995 35
insert 8403934 0,218200733521115 16
insert 8581808 0,20119537375923 57
insert 4598228 0,303217292904489 65
insert 4504130 0,949397163442055 87
insert 8573734 0,452271567402534 275
insert 822959 0,668595148561799 117
insert 4811043 0,0885371924790261 276
insert 2817121 0,793046991710107 20
insert 7211926 0,88322946749778 237
insert 7057380 0,75113914848824 149
insert 6661232 0,923952231148236 71
insert 4688571 0,256623702243261 197
insert 1048474 0,937102656782187 54
insert 3656839 0,287410912703448 322
insert 1126347 0,824533559765915 74
insert 6020239 0,211391003900855 117
insert 2929370 0,133865969783564 87
insert 5505496 0,0526165962464253 312
insert 3292016 0,558681273161751 153
insert 9893073 0,1369882445489 114
insert 5014246 0,754084814225363 198
insert 7685778 0,784289826538549 9
insert 441336 0,38851620833786 70
insert 2160407 0,977448560286988 263
insert 1744027 0,115420362965865 288
insert 8730166 0,169077425808216 348
insert 8502408 0,119168667178214 241
insert 3338920 0,412800988840312 222
insert 1729438 0,115573628393735 313
insert 3284859 0,139655541693631 251
insert 1242106 0,115540103575001 288
insert 8347315 0,864259281132491 191
insert 3430404 0,344056845337179 14
insert 1814237 0,557890250141681 296
insert 1296694 0,0768963238582464 56
insert 5101973 0,376146902971038 337
insert 681563 0,456184978809294 140
insert 4566403 0,139066419628945 6
insert 6461274 0,167532584242305 122
insert 9348049 0,59563398249244 240
insert 1541092 0,715647709889173 89
insert 4977054 0,0918301474730625 310
insert 9313780 0,339671222651224 90
insert 2678001 0,529976192177262 297
insert 9282696 0,668817153977611 202
insert 8489636 0,204222677370637 120
insert 4608557 0,662746505189103 266
insert 9341394 0,260329591697235 246
insert 3083385 0,667570299779796 351
insert 7822948 0,188604062976597 250
insert 1920422 0,408235514726599 269
insert 3715275 0,0273144422226187 303
insert 5740141 0,63196396903692 354
insert 2945089 0,57881930124891 13
insert 6860351 0,800356201268898 333
insert 5645832 0,52837061114999 169
insert 4565411 0,797163774630597 346
insert 53791 0,473949196503474 335
insert 9292894 0,219969895770759 163
insert 5653901 0,189366854349788 152
insert 8854347 0,149083244683725 54
insert 5544343 0,0757579082044577 43
insert 765977 0,556742163634273 230
insert 7190358 0,274949539115163 206
insert 3508384 0,166346816423511 30
insert 7029510 0,248104250174064 165
insert 7572617 0,743755314845478 50
insert 5062244 0,325753674528447 140
insert 7334167 0,18666311269005 336
insert 8155353 0,442238062360435 290
insert 3869244 0,0086240251588747 159
insert 5608063 0,409074180018657 154
insert 8854085 0,131600766503997 260
insert 8044681 0,487985549256199 349
insert 8287465 0,737505283550129 187
insert 3910511 0,654540671806103 110
insert 8489602 0,226338427619235 349
insert 9953447 0,808128327507585 160
insert 2850601 0,379210354471211 296
insert 7596268 0,82101759492467 320
insert 1874543 0,261062332084897 41
insert 8341581 0,332111454723455 95
insert 1296615 0,790032159904964 272
insert 6541911 0,817542524457696 41
insert 7353750 0,952793667070937 92
insert 1675712 0,677477864398378 211
insert 8692260 0,342365591480567 191
insert 6266839 0,966575112178258 77
insert 8354789 0,391579694296969 72
insert 9969855 0,275746169628457 10
insert 6064064 0,125781649316559 111
insert 8355034 0,617013749953831 81
insert 8571243 0,99458838859321 145
insert 2558887 0,261389604891366 311
insert 5503297 0,194769125988134 147
insert 8553621 0,259969630399705 307
insert 1898417 0,117488917949371 252
insert 2350811 0,890400818498061 172
insert 3569723 0,560770421084375 106
insert 8986044 0,998679264447968 338
insert 658298 0,132676018463762 185
insert 7274088 0,047784660965104 249
insert 8059203 0,899871599813863 120
insert 288465 0,31044689487221 245
insert 1828545 0,613337331271422 29
insert 6676139 0,0763541944680522 277
insert 8071037 0,980116738928536 47
insert 3451610 0,807143801267791 56
insert 3281313 0,371325307232945 84
insert 8319311 0,478531142919572 20
insert 9324359 0,95851987970924 358
insert 4648620 0,190058905254146 46
insert 3502225 0,822920932817702 52
insert 7170350 0,0494418498358884 129
insert 5195547 0,160995225497054 290
insert 188430 0,052226617025317 99
insert 3976760 0,689358425647653 174
insert 5226812 0,0915007349529773 6
insert 8089216 0,720668779090358 117
insert 3560287 0,399277475382796 243
insert 4563800 0,973989143955516 151
insert 2795365 0,0964105511533146 126
insert 6869803 0,717992493751455 152
insert 9522624 0,317391407358177 91
insert 6248215 0,0900687035592593 335
insert 7715120 0,825606293895099 232
insert 3512152 0,309288321206946 114
insert 9583173 0,434255151280321 284
insert 5718271 0,409754763548148 312
insert 9773465 0,655940371870967 168
insert 8031813 0,99419378302721 152
insert 4705251 0,260654983697764 27
insert 9387575 0,240018155071893 23
insert 4551150 0,33186266260774 120
insert 8537850 0,445413616693306 133
insert 2309829 0,89785971254942 0
insert 878876 0,0374096632177987 322
insert 6793836 0,0048135099954966 32
insert 3573606 0,498062700730778 194
insert 6321677 0,707709485994517 247
insert 4849078 0,709633753034116 22
insert 9538882 0,149081030929965 116
insert 8297898 0,154296409876224 298
insert 8552221 0,832754459619873 210
insert 5815639 0,896100220687734 351
insert 9848645 0,104532282382498 355
insert 4172056 0,34084413728716 184
insert 8655871 0,889458962199026 222
insert 5743276 0,123797727806399 356
insert 3336543 0,11316444776634 274
insert 5357187 0,306589834069177 191
insert 3779288 0,970207137507483 224
insert 2721820 0,899896761355874 106
insert 487693 0,401193160750527 267
insert 1720183 0,232665453214508 73
insert 3094743 0,0978197399982343 39
insert 1125634 0,372496096590765 141
insert 5508924 0,21496204063993 132
insert 1747607 0,619320757044163 295
insert 4435214 0,379560658884961 9
insert 3338173 0,49613550095639 14
insert 668214 0,319503470007099 189
insert 532794 0,203635014688426 333
insert 3551967 0,712682565540393 73
insert 6925089 0,368436305023933 338
insert 7683317 0,693568801830322 236
insert 4138755 0,264853294596473 9
insert 8806669 0,221090807682411 266
insert 3690618 0,984826255116997 32
insert 1654433 0,203168150132135 126
insert 8020541 0,828660588166053 187
insert 2710492 0,714952042659257 325
insert 7024313 0,105196874637714 328
insert 6784905 0,256194876626225 321
insert 1828202 0,757366746551062 237
insert 1888948 0,858383509264506 304
insert 4272143 0,406428988280906 333
insert 1633812 0,0296459081720775 41
insert 9993053 0,453150367575302 99
insert 3004636 0,697759572275802 120
insert 4345368 0,887836149375809 0
insert 5750067 0,553142630287047 318
insert 6842994 0,421459666183898 235
insert 345933 0,0659004077622203 211
insert 7436315 0,735384927008015 3
insert 1317932 0,69784677759644 166
insert 808548 0,180166967297051 45
insert 2451020 0,738228948199297 286
insert 4251344 0,638672836887964 287
insert 4056287 0,271743967324376 94
insert 6300129 0,401967729629002 146
insert 5784847 0,243953745925777 132
insert 8937178 0,60781350341058 73
insert 7757915 0,504595478765944 157
insert 1930414 0,392621055428228 122
insert 3373800 0,419749756073463 105
insert 1060489 0,867512052817043 271
insert 8113206 0,219608790809106 186
insert 2082344 0,189434774308202 53
insert 2037277 0,149872277467452 329
insert 850072 0,278670680373288 53
insert 3916825 0,404580350222336 239
insert 1809346 0,165146757459802 176
insert 6402996 0,23807540174484 32
insert 2594999 0,305063266449172 243
insert 6895189 0,0520605845619275 124
insert 4562105 0,0877543972282458 78
insert 5047536 0,299579791864185 145
insert 5064980 0,818692334377529 65
insert 8898446 0,370250299279695 19
insert 2187515 0,689990158048454 164
insert 2897543 0,690784256295666 81
insert 2872081 0,801358885970599 355
insert 6765959 0,156445403190537 91
insert 8028298 0,465749255598406 226
insert 6652703 0,551820687275296 329
insert 8420211 0,51871556626573 49
insert 8039993 0,74751712137252 22
insert 6955467 0,580253598550453 352
insert 7454837 0,885184502175629 210
insert 4815737 0,291089927447536 286
insert 4369122 0,421548164645931 197
insert 6320920 0,969745622002401 221
insert 4496466 0,402310758550796 90
insert 3575671 0,779614678947076 335
insert 9643200 0,701923898748087 300
insert 7747952 0,841227769312089 96
insert 2678134 0,0478235809355153 306
insert 9171447 0,414752217668459 339
insert 3958233 0,59420761028035 39
insert 2468339 0,541724359868897 329
insert 4021526 0,195022163072146 311
insert 4597065 0,365917590617164 15
insert 813514 0,0331782675502721 209
insert 3002665 0,392374426309194 41
insert 8866724 0,446432120840266 348
insert 1308088 0,731226630383742 316
insert 1452603 0,970688520917058 15
insert 3190163 0,213760324853361 87
insert 9433617 0,519767427593361 2
insert 6056122 0,236268702538809 135
insert 5037483 0,202812780254899 309
insert 3345273 0,955414498204093 210
insert 659535 0,504613541767287 120
insert 7896294 0,693443856059315 290
insert 6847965 0,967546900253532 235
insert 7351299 0,0304722907163539 348
insert 9745705 0,265014459502424 310
insert 2322009 0,101573557640227 205
insert 8722176 0,0831363206185104 353
insert 6220891 0,516344815267411 304
insert 374051 0,475739200355364 286
insert 2065370 0,796518161798137 68
insert 2558184 0,552145176358589 176
insert 3833099 0,0648553679067899 81
insert 5423233 0,355630906930021 99
insert 2359072 0,634219786913237 88
insert 5878171 0,208231799867112 176
insert 384758 0,631041612769962 349
insert 5125570 0,271547394465444 36
insert 2895505 0,462309663864928 314
insert 6033306 0,443864389063727 355
insert 4898561 0,7522243013383 78
insert 111399 0,478259528278494 61
insert 4658875 0,479311516265996 172
insert 4773024 0,591260667699976 72
insert 6363678 0,689877566271405 268
insert 2937911 0,636310419829707 161
insert 7350484 0,0342719373452812 110
insert 3568550 0,998929293825724 304
insert 8256553 0,693980021725399 188
insert 883224 0,966267849302975 32
insert 6187394 0,779979248894369 223
insert 2383443 0,0524672465643227 217
insert 595400 0,224767294351369 56
insert 751846 0,121929683313672 262
insert 109680 0,561173375957261 14
insert 7710951 0,876189140545292 209
insert 3552965 0,995759385635964 297
insert 4233616 0,868282264037189 147
insert 6801557 0,133001118960325 271
insert 3730070 0,185484614775276 282
insert 6460579 0,377565085132404 184
insert 3884916 0,858563029141427 292
insert 5791681 0,398023529163573 229
insert 1425360 0,234251164940303 148
insert 2929562 0,659863727474522 328
insert 5791927 0,345887003627553 157
insert 8049166 0,0545601705343277 294
insert 9433009 0,733025851535157 349
insert 2638362 0,195377801170283 328
insert 2113985 0,558188651017001 331
insert 8501115 0,686532941035243 14
insert 3716807 0,429126715021733 267
insert 2158766 0,622476420655137 252
insert 2284995 0,191927038688179 172
insert 9442595 0,212760526785981 274
insert 4144561 0,130405368809777 75
insert 4972501 0,100962979300396 283
insert 3155390 0,568090425603134 47
insert 9664886 0,702757031984048 232
insert 5425352 0,124655333405666 238
insert 8995844 0,367769585627955 302
insert 7179441 0,29242444703934 197
insert 3722604 0,921275522988884 83
insert 1679776 0,363316115161086 260
insert 7351455 0,576417116251037 310
insert 3396252 0,999041430651695 187
insert 2090002 0,849380149901556 23
insert 7032784 0,714148329437779 164
insert 1323520 0,534572508435032 42
insert 9083582 0,40519212670866 261
insert 998253 0,673341413342087 179
insert 394251 0,328915092315951 296
insert 6383307 0,226315316383874 331
insert 2137899 0,0421956726546379 75
insert 9776815 0,329272541836497 265
insert 637035 0,580393518591483 357
insert 2682913 0,6268633555746 253
insert 1242739 0,333534960324659 99
insert 5982127 0,196305985653915 235
insert 3826092 0,585592179831859 272
insert 4292757 0,463902210567101 185
insert 5043673 0,0681522912663185 248
insert 2255894 0,695720452207942 89
insert 384756 0,701294536563239 278
insert 5999292 0,995210246180748 290
insert 8558425 0,725596924184634 138
insert 7195788 0,0686484799108694 343
insert 1267692 0,640066922940345 280
insert 226540 0,975551455735951 122
insert 2225459 0,44121232323405 47
insert 1705361 0,255721526805182 230
insert 1624841 0,784514288317652 208
insert 6930464 0,473314194694773 94
insert 476721 0,838114036637411 318
insert 7441712 0,229815633608874 333
insert 9309894 0,524344663845536 121
insert 4680907 0,742370209071026 169
insert 2687454 0,663030398852672 186
insert 8036729 0,302506502392938 296
insert 7377546 0,481713247709774 33
insert 3501682 0,00304359197758305 91
insert 1148929 0,867939481915878 160
insert 1320029 0,437445103860202 75
insert 2288910 0,162796136998942 90
insert 1237555 0,671906645256983 82
insert 695059 0,382597920663002 147
insert 8527599 0,0916645946407991 162
insert 14817 0,75445519748817 251
insert 6619000 0,901790728281155 213
